protein_position,competition_label,canonical_gene_symbol,resolution,resolution_note,uniprot_accession,uniprot_entry_name,sgd_id,systematic_name,protein_name,sequence_length,sequence_sha256,string_id,biogrid_id,reactome_ids,kegg_ids,go_ids,uniprot_pathway
3264,RPA190,RPA190,primary_exact,,P10964,RPA1_YEAST,S000005868,YOR341W,DNA-directed RNA polymerase I subunit RPA190 (EC 2.7.7.6) (DNA-directed RNA polymerase I 190 kDa polypeptide) (A190) (DNA-directed RNA polymerase I largest subunit),1664,e13be874749a42e58106307bc46020ea6618b1f29646861079b5f0eb33535066,4932.YOR341W,34724,R-SCE-73762;R-SCE-73772,sce:YOR341W,GO:0003677; GO:0003899; GO:0005634; GO:0005730; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0042254; GO:0042790; GO:0046872; GO:1990841,
3265,RPA34,RPA34,primary_exact,,P47006,RPA34_YEAST,S000003684,YJL148W,DNA-directed RNA polymerase I subunit RPA34 (A34) (DNA-directed DNA-dependent RNA polymerase 34.5 kDa polypeptide) (A34.5),233,4fb1a91b54d99c7dadfd5d59edf6e747ead727270bd35dae9c19eaeee3647a14,4932.YJL148W,33610,,sce:YJL148W,GO:0003899; GO:0005634; GO:0005730; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0042254; GO:0042790,
3266,RPA43,RPA43,primary_exact,,P46669,RPA43_YEAST,S000005867,YOR340C,DNA-directed RNA polymerase I subunit RPA43 (A43) (DNA-directed DNA-dependent RNA polymerase 36 kDa polypeptide),326,4c54b39f2171bbdf8c1efcfbce47dc19706e3b334108766b9ed2f93827563352,4932.YOR340C,34723,R-SCE-73762;R-SCE-73772,sce:YOR340C,GO:0003899; GO:0005634; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0042254; GO:0042790,
3267,RPA49,RPA49,primary_exact,,Q01080,RPA49_YEAST,S000005192,YNL248C,DNA-directed RNA polymerase I subunit RPA49 (A49) (DNA-directed RNA polymerase I 49 kDa polypeptide),415,51065da8752417b44d3aa10a2a04077d488d40b3f8757aee9ed63842cd5e615c,4932.YNL248C,35591,R-SCE-73762;R-SCE-73772,sce:YNL248C,GO:0001188; GO:0003677; GO:0003899; GO:0005634; GO:0005730; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0008361; GO:0042254; GO:0042790; GO:0042802,
3268,RPB10,RPB10,primary_exact,,P22139,RPAB5_YEAST,S000005736,YOR210W,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (ABC10-beta) (ABC8) (DNA-directed RNA polymerases I, II, and III 8.3 kDa polypeptide)",70,cc0a2442d1964e4e393383a530ae27ae6964422337c6732675dd1df3f074f837,4932.YOR210W,34605,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73762;R-SCE-73772;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-76061;R-SCE-76066;R-SCE-77075;R-SCE-9018519,sce:YOR210W,GO:0001172; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006383; GO:0006384; GO:0006386; GO:0008270; GO:0042254; GO:0042790; GO:0042797,
3269,RPB11,RPB11,primary_exact,,P38902,RPB11_YEAST,S000005365,YOL005C,DNA-directed RNA polymerase II subunit RPB11 (RNA polymerase II subunit B11) (B13.6) (DNA-directed RNA polymerase II 13.6 kDa polypeptide),120,e5ca72de84371c102b60be5d242b8952d384447efd42abc54d2fc7b284a64b0b,4932.YOL005C,34399,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-77075;R-SCE-9018519,sce:YOL005C,GO:0001172; GO:0003677; GO:0003899; GO:0005634; GO:0005665; GO:0006366; GO:0006367; GO:0006368; GO:0006369; GO:0046983,
3270,RPB2,RPB2,primary_exact,,P08518,RPB2_YEAST,S000005677,YOR151C,DNA-directed RNA polymerase II subunit RPB2 (RNA polymerase II subunit 2) (EC 2.7.7.6) (B150) (DNA-directed RNA polymerase II 140 kDa polypeptide),1224,01d0d95e25d1bcd4b166b98087096839547e77f849a7542392ade1e8bfbcbf4c,4932.YOR151C,34547,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-77075;R-SCE-9018519,sce:YOR151C,GO:0001172; GO:0003677; GO:0003729; GO:0003899; GO:0005634; GO:0005665; GO:0005739; GO:0006354; GO:0006366; GO:0006367; GO:0006368; GO:0008270; GO:0010494; GO:0032549,
3271,RPB3,RPB3,primary_exact,,P16370,RPB3_YEAST,S000001283,YIL021W,DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (B44.5) (DNA-directed RNA polymerase II 45 kDa polypeptide),318,69c195b19f845060def3d1a3e0297c873808058e69b1388718bfb39c700d8b8e,4932.YIL021W,34967,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-77075;R-SCE-9018519,sce:YIL021W,GO:0001172; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0006366; GO:0006367; GO:0006368; GO:0006369; GO:0046872; GO:0046983,
3272,RPB4,RPB4,primary_exact,,P20433,RPB4_YEAST,S000003676,YJL140W,DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (B32) (DNA-directed RNA polymerase II 32 kDa polypeptide),221,1b4585a71da11c43a2fa954e627c5ff1035664626a3d89fe0081917024693c5a,4932.YJL140W,33617,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-77075;R-SCE-9018519,sce:YJL140W,GO:0000166; GO:0000288; GO:0000932; GO:0001172; GO:0005634; GO:0005665; GO:0005737; GO:0006352; GO:0006366; GO:0006367; GO:0006368; GO:0006397; GO:0031369; GO:0045948,
3273,RPB5,RPB5,primary_exact,,P20434,RPAB1_YEAST,S000000358,YBR154C,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)",215,cbb62a307ad153c255d09b1c38b21b1866a034868655b605fa2a8e4f6e878fa7,4932.YBR154C,32853,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73762;R-SCE-73772;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-76061;R-SCE-76066;R-SCE-77075;R-SCE-9018519,sce:YBR154C,GO:0001172; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006383; GO:0006384; GO:0006386; GO:0042254; GO:0042790; GO:0042797,
3274,RPB7,RPB7,primary_exact,,P34087,RPB7_YEAST,S000002812,YDR404C,DNA-directed RNA polymerase II subunit RPB7 (RNA polymerase II subunit B7) (B16),171,83d3a4bb2b77f2d447e2e34483b92f4a0abd024d20c78f29b9187d33c13f070a,4932.YDR404C,32464,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-77075;R-SCE-9018519,sce:YDR404C,GO:0000288; GO:0000932; GO:0000956; GO:0001172; GO:0003697; GO:0003727; GO:0005634; GO:0005665; GO:0005737; GO:0006352; GO:0006366; GO:0006367; GO:0006368; GO:0031369; GO:0045948; GO:0060213,
3275,RPB8,RPB8,primary_exact,,P20436,RPAB3_YEAST,S000005750,YOR224C,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)",146,ce7cd70250d0b569e39e2cf28c28578cac6ef076795fe9e170de624038c4019d,4932.YOR224C,34618,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73762;R-SCE-73772;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-76061;R-SCE-76066;R-SCE-77075;R-SCE-9018519,sce:YOR224C,GO:0001172; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006383; GO:0006384; GO:0006386; GO:0042254; GO:0042790; GO:0042797,
3276,RPB9,RPB9,primary_exact,,P27999,RPB9_YEAST,S000003038,YGL070C,DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (B12.6) (DNA-directed RNA polymerase II 14.2 kDa polypeptide) (DNA-directed RNA polymerase II subunit 9),122,e5dfe5c3ffdaff983d6e708bf45e45c4969e7cf2486ac2a47c02fc88cd680911,4932.YGL070C,33178,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-77075;R-SCE-9018519,sce:YGL070C,GO:0001172; GO:0001193; GO:0003676; GO:0003899; GO:0005634; GO:0005665; GO:0005730; GO:0006283; GO:0006366; GO:0006367; GO:0006368; GO:0008270,
3277,RPC10,RPC10,primary_exact,,P40422,RPAB4_YEAST,S000001185,YHR143W-A,"DNA-directed RNA polymerases I, II, and III subunit RPABC4 (RNA polymerases I, II, and III subunit ABC4) (ABC10-alpha)",70,c93ebc5d2bda50e45e5a7a1f9c948103a65e5747f8144f220a29d2685e8950cd,4932.YHR143W-A,36577,R-SCE-113418;R-SCE-674695;R-SCE-6781823;R-SCE-6782135;R-SCE-6782210;R-SCE-6796648;R-SCE-6807505;R-SCE-72086;R-SCE-72203;R-SCE-73762;R-SCE-73772;R-SCE-73776;R-SCE-73779;R-SCE-75953;R-SCE-76042;R-SCE-76061;R-SCE-76066;R-SCE-77075;R-SCE-9018519,sce:YHR143W-A,GO:0001172; GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005730; GO:0005736; GO:0005737; GO:0005777; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006383; GO:0006384; GO:0006386; GO:0008270; GO:0042254; GO:0042790; GO:0042797,
3278,RPC11,RPC11,primary_exact,,Q04307,RPC10_YEAST,S000002452,YDR045C,DNA-directed RNA polymerase III subunit RPC10 (RNA polymerase III subunit C10) (DNA-directed RNA polymerases III 12.5 kDa polypeptide) (RNA polymerase III subunit C11),110,d27874eaa68872d3fa83284eb78dae252e1216e908886e404ac811bd5dbbb896,4932.YDR045C,32100,,sce:YDR045C,GO:0003676; GO:0003899; GO:0005634; GO:0005654; GO:0005666; GO:0005730; GO:0006383; GO:0006384; GO:0006386; GO:0008270; GO:0042797,
3279,RPC17,RPC17,primary_exact,,P47076,RPC9_YEAST,S000003548,YJL011C,DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (RNA polymerase III subunit C17),161,c0417cc310ea0cf6d662f44d997a27b50aba9a5e9a609b5f1fe8abcaa0b795e2,4932.YJL011C,33744,R-SCE-76061;R-SCE-76066,sce:YJL011C,GO:0000166; GO:0005634; GO:0005654; GO:0005666; GO:0005829; GO:0006383; GO:0006384; GO:0006386; GO:0042797,
3280,RPC19,RPC19,primary_exact,,P28000,RPAC2_YEAST,S000005057,YNL113W,DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerases I and III 16 kDa polypeptide) (RPA19),142,be8d24747190a06f275975360c0c72ae5b432e79e2b4f7182c1659dc61700ded,4932.YNL113W,35712,,sce:YNL113W,GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005666; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0006383; GO:0006384; GO:0006386; GO:0042254; GO:0042790; GO:0042797; GO:0046983,
3281,RPC25,RPC25,primary_exact,,P35718,RPC8_YEAST,S000001627,YKL144C,DNA-directed RNA polymerase III subunit RPC8 (RNA polymerase III subunit C8) (DNA-directed RNA polymerase III 25 kDa polypeptide) (RNA polymerase III subunit C25),212,c6aefbc99f7f43afb83ce630b7d6a0e3a45e1678cbca2b0dab88f0c807f377be,4932.YKL144C,33992,R-SCE-76061;R-SCE-76066,sce:YKL144C,GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005666; GO:0006383; GO:0006384; GO:0006386; GO:0042797,
3282,RPC31,RPC31,primary_exact,,P17890,RPC7_YEAST,S000005095,YNL151C,DNA-directed RNA polymerase III subunit RPC7 (RNA polymerase III subunit C7) (DNA-directed RNA polymerase III 31 kDa polypeptide) (C31),251,2a5e14bcd3b81a9ed461cf36b1076cc2cf64b5346aeb96e878ba94433a9b9143,4932.YNL151C,35678,R-SCE-76061;R-SCE-76066,sce:YNL151C,GO:0003677; GO:0005634; GO:0005654; GO:0005666; GO:0006383; GO:0006384; GO:0006386; GO:0016779; GO:0042797,
3283,RPC34,RPC34,primary_exact,,P32910,RPC6_YEAST,S000005286,YNR003C,DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (C34) (DNA-directed RNA polymerase III 36 kDa polypeptide),317,7a8e6dcd362292456b58349387e2bdf5dc597bede9b9d96f789d003ac8028a9b,4932.YNR003C,35829,R-SCE-76061;R-SCE-76066,sce:YNR003C,GO:0005634; GO:0005654; GO:0005666; GO:0005737; GO:0005739; GO:0006383; GO:0006384; GO:0006386; GO:0042797,
3284,RPC37,RPC37,primary_exact,,P36121,RPC5_YEAST,S000001733,YKR025W,DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 37 kDa polypeptide) (RNA polymerase III subunit C37),282,20a53e78ed1ffcbec168722ba535db7ee4e1f7d647534c6d5294f55164da08b1,4932.YKR025W,34157,,sce:YKR025W,GO:0005634; GO:0005666; GO:0006383; GO:0006384; GO:0006386; GO:0042797,
3285,RPC40,RPC40,primary_exact,,P07703,RPAC1_YEAST,S000006314,YPR110C,DNA-directed RNA polymerases I and III subunit RPAC1 (RNA polymerases I and III subunit AC1) (C37) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (AC40) (C40),335,724786204cb195831bb80e2ee901759a397883e9ee19fef175293945d70c65de,4932.YPR110C,36277,R-SCE-73762;R-SCE-73772;R-SCE-76061;R-SCE-76066,sce:YPR110C,GO:0003677; GO:0003899; GO:0005634; GO:0005654; GO:0005666; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0006383; GO:0006384; GO:0006386; GO:0042254; GO:0042790; GO:0042797; GO:0046983,
3286,RPC53,RPC53,primary_exact,,P25441,RPC4_YEAST,S000002309,YDL150W,DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (C53) (DNA-directed RNA polymerase III 47 kDa polypeptide),422,ebf191edaae3403f6dd2d1fa7c1a91457b611653c8d77b819bbc0a5958c527a9,4932.YDL150W,31911,R-SCE-76061;R-SCE-76066,sce:YDL150W,GO:0003677; GO:0005634; GO:0005654; GO:0005666; GO:0006383; GO:0006384; GO:0006386; GO:0042797,
3287,RPC82,RPC82,primary_exact,,P32349,RPC3_YEAST,S000006394,YPR190C,DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (C82) (DNA-directed III 74 kDa polypeptide) (C74),654,05bac086fb9624def5b46417d3f92a22bbd70474900b5a48f7196f68cf3d58d8,4932.YPR190C,36362,R-SCE-76061;R-SCE-76066,sce:YPR190C,GO:0003697; GO:0005634; GO:0005654; GO:0005666; GO:0005737; GO:0006383; GO:0006384; GO:0006386; GO:0042797,
3288,RPD3,RPD3,primary_exact,,P32561,RPD3_YEAST,S000005274,YNL330C,Histone deacetylase RPD3 (EC 3.5.1.98) (Transcriptional regulatory protein RPD3),433,def1cf3d5d8b48c969f1f1b986f46b81db7527b2021dcfd0c0a6902f7da331cb,4932.YNL330C,35511,R-SCE-3214815;R-SCE-4551638,sce:YNL330C,GO:0000082; GO:0000086; GO:0000118; GO:0000122; GO:0003713; GO:0003714; GO:0004407; GO:0005634; GO:0005737; GO:0006334; GO:0006355; GO:0006357; GO:0006368; GO:0006979; GO:0006995; GO:0016239; GO:0016479; GO:0030174; GO:0031507; GO:0032221; GO:0033698; GO:0034399; GO:0034503; GO:0034605; GO:0044804; GO:0045128; GO:0045944; GO:0051321; GO:0061186; GO:0061188; GO:0070210; GO:0070211; GO:0070550; GO:0070822; GO:0141221,
3289,RPE1,RPE1,primary_exact,,P46969,RPE_YEAST,S000003657,YJL121C,Ribulose-phosphate 3-epimerase (EC 5.1.3.1) (Pentose-5-phosphate 3-epimerase) (PPE) (RPE),238,eb2ff56020b2e6885555a833dbc9659f5658f47b621efff22532bf1043939fea,4932.YJL121C,33635,R-SCE-71336,sce:YJL121C,GO:0004750; GO:0005829; GO:0005975; GO:0006098; GO:0009052; GO:0046872,PATHWAY: Carbohydrate degradation; pentose phosphate pathway; D-xylulose 5-phosphate from D-ribulose 5-phosphate (non-oxidative stage): step 1/1.
3290,RPF1,RPF1,primary_exact,,P38805,RPF1_YEAST,S000001130,YHR088W,Ribosome production factor 1 (Ribosome biogenesis protein RPF1),295,2a0b618ab3bd038373bbd1b3f31758f9c34671b46feb0f0e25538f99666314d3,4932.YHR088W,36523,,sce:YHR088W,GO:0000055; GO:0000460; GO:0000463; GO:0000466; GO:0000470; GO:0005730; GO:0030687; GO:0042134,
3291,RPF2,RPF2,primary_exact,,P36160,RPF2_YEAST,S000001789,YKR081C,Ribosome biogenesis protein RPF2,344,225a7b4fc2dd37dfb62bd8acfa86a735b1f1090ea91906bfb852d23330da7146,4932.YKR081C,34212,,sce:YKR081C,GO:0000027; GO:0000463; GO:0000466; GO:0005730; GO:0008097; GO:0008312; GO:0019843; GO:0030687; GO:1902626,
3292,RPG1,RPG1,primary_exact,,P38249,EIF3A_YEAST,S000000283,YBR079C,"Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 110 kDa subunit homolog) (eIF3 p110) (Translation initiation factor eIF3, p110 subunit homolog)",964,0645362bbfe056a56877c97cff3efb50b0c4a962d7c8500b0d40b60493489a68,4932.YBR079C,32781,R-SCE-156827;R-SCE-72649;R-SCE-72695;R-SCE-72702,sce:YBR079C,GO:0000131; GO:0001732; GO:0002188; GO:0003729; GO:0003743; GO:0005737; GO:0005852; GO:0006413; GO:0010494; GO:0016282; GO:0033290; GO:0043614; GO:0071540; GO:0071541,
3293,RPH1,RPH1,primary_exact,,P39956,RPH1_YEAST,S000000971,YER169W,DNA damage-responsive transcriptional repressor RPH1,796,7171950ec329242bf5a037a5be9357a61ee81bc59ac0dbb48cc2683d513fce36,4932.YER169W,36922,,sce:YER169W,GO:0000122; GO:0000785; GO:0001227; GO:0005634; GO:0006338; GO:0006351; GO:0008270; GO:0010468; GO:0010507; GO:0032454; GO:0032968; GO:0043565; GO:0051864,
3294,RPI1,RPI1,primary_exact,,P23250,RPI1_YEAST,S000001381,YIL119C,Negative RAS protein regulator protein,407,cbf7b4263b04db34f5830b3cbf12dd2a6756c4aaabb45aa9ca73ef949d9b5aa5,4932.YIL119C,34872,,sce:YIL119C,GO:0003677; GO:0005634; GO:0007265; GO:0009272; GO:0030695; GO:0045944,
3295,RPL10,RPL10,primary_exact,,P41805,RL10_YEAST,S000004065,YLR075W,Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (L9) (Ubiquinol-cytochrome C reductase complex subunit VI-requiring protein),221,ea9b7aad6667578cb6fb9de92736c865db0ef4b54c14266a43d1a4e7b7ac6b9f,4932.YLR075W,31349,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YLR075W,GO:0000027; GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0006412; GO:0006415; GO:0022625,
3296,RPL11A,RPL11A,primary_exact,,P0C0W9,RL11A_YEAST,S000006306,YPR102C,Large ribosomal subunit protein uL5A (60S ribosomal protein L11-A) (L16) (RP39) (YL22),174,3e71f5225678994cd094c0abbf872b60c3ba4e3141c49d046575233b1b802987,4932.YPR102C,36268,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YPR102C,GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005829; GO:0006412; GO:0019843; GO:0022625,
3297,RPL11B,RPL11B,primary_exact,,Q3E757,RL11B_YEAST,S000003317,YGR085C,Large ribosomal subunit protein uL5B (60S ribosomal protein L11-B) (L16) (RP39) (YL22),174,e523e0e9d9d1321653448fd5eaa8c16686d9762b325de8c249dc21ce56bf7f8d,4932.YGR085C,33327,,sce:YGR085C,GO:0000027; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005829; GO:0006412; GO:0019843; GO:0022625,
3298,RPL12A,RPL12A,primary_exact,,P0CX53,RL12A_YEAST,S000000780,YEL054C,Large ribosomal subunit protein uL11A (60S ribosomal protein L12-A) (L15) (YL23),165,81fdd5f89efe9240b44f751d87c548bcf1cbe13a9242a2f0006bc1a4cf61f996,4932.YDR418W,32476,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YDR418W;sce:YEL054C,GO:0000027; GO:0002181; GO:0003735; GO:0005829; GO:0006412; GO:0022625; GO:0034517; GO:0070180,
3299,RPL13A,RPL13A,primary_exact,,Q12690,RL13A_YEAST,S000002240,YDL082W,Large ribosomal subunit protein eL13A (60S ribosomal protein L13-A),199,3d8e4fadd52285b819b8edc696049d08be729d5dbb617bf0e26435310e995594,4932.YDL082W,31979,,sce:YDL082W,GO:0002181; GO:0003723; GO:0003735; GO:0005829; GO:0022625,
3300,RPL13B,RPL13B,primary_exact,,P40212,RL13B_YEAST,S000004750,YMR142C,Large ribosomal subunit protein eL13B (60S ribosomal protein L13-B),199,a61091649252430d6d95e15383ccaa3c45091d3dcf1c0cd6bf50d1f56c68d44c,4932.YMR142C,35318,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YMR142C,GO:0002181; GO:0003723; GO:0003735; GO:0005829; GO:0016236; GO:0022625,
3301,RPL14A,RPL14A,primary_exact,,P36105,RL14A_YEAST,S000001489,YKL006W,Large ribosomal subunit protein eL14A (60S ribosomal protein L14-A),138,2b8f6cc849c0fbec9e47b8d9dfb799a1908ab3acfa96bc404060b67beeb3aff1,4932.YKL006W,34127,,sce:YKL006W,GO:0000027; GO:0000470; GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0005829; GO:0016236; GO:0022625; GO:0042273,
3302,RPL14B,RPL14B,primary_exact,,P38754,RL14B_YEAST,S000000993,YHL001W,Large ribosomal subunit protein eL14B (60S ribosomal protein L14-B),138,c5ba9cb6c397777a4197dee8b92598fe9d8531174f6d9e3f2c6e9b2542845f87,4932.YHL001W,36424,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YHL001W,GO:0000027; GO:0000470; GO:0002181; GO:0003723; GO:0003735; GO:0005730; GO:0005829; GO:0022625; GO:0042273,
3303,RPL15A,RPL15A,primary_exact,,P05748,RL15A_YEAST,S000004019,YLR029C,Large ribosomal subunit protein eL15A (60S ribosomal protein L15-A) (L13) (RP15R) (YL10) (YP18),204,f3caad1830a744f51ef0bc076f6f38034e1b68e8cfd0efb35fede2d7c5fb575b,4932.YLR029C,31303,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YLR029C,GO:0000470; GO:0002181; GO:0003723; GO:0003735; GO:0005829; GO:0022625; GO:0180023,
3304,RPL15B,RPL15B,primary_exact,,P54780,RL15B_YEAST,S000004728,YMR121C,Large ribosomal subunit protein eL15B (60S ribosomal protein L15-B) (L13) (RP15R) (YL10) (YP18),204,2343c5fa4db8c69a5a44ea58082105c168aa97657178c1673d1951caf463fa0c,4932.YMR121C,35298,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YMR121C,GO:0000470; GO:0002181; GO:0003723; GO:0003735; GO:0005634; GO:0005730; GO:0005737; GO:0005829; GO:0016236; GO:0022625; GO:0180023,
3305,RPL16A,RPL16A,primary_exact,,P26784,RL16A_YEAST,S000001395,YIL133C,Large ribosomal subunit protein uL13A (60S ribosomal protein L16-A) (L13a) (L21) (RP22) (YL15),199,b877d0a25fcc08a3dde484226f4075bb72bfd8a49610f65955a21835249fa50c,4932.YIL133C,34858,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YIL133C,GO:0000470; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005730; GO:0005829; GO:0005840; GO:0017148; GO:0022625,
3306,RPL16B,RPL16B,primary_exact,,P26785,RL16B_YEAST,S000005013,YNL069C,Large ribosomal subunit protein uL13B (60S ribosomal protein L16-B) (L21) (RP23) (YL15),198,b9ae7bd4e64b590813d45ee97974349a794b18494dabb5baa5975cd5bb7ff87b,4932.YNL069C,35754,,sce:YNL069C,GO:0000470; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005730; GO:0005829; GO:0005840; GO:0017148; GO:0022625,
3307,RPL17A,RPL17A,primary_exact,,P05740,RL17A_YEAST,S000001663,YKL180W,Large ribosomal subunit protein uL22A (60S ribosomal protein L17-A) (L20A) (YL17),184,aeffe607f757ceecdb8dca883d1103c4c8e84ae7306b6388c94f03f913524c0b,4932.YKL180W,33959,R-SCE-156827;R-SCE-1799339;R-SCE-72689;R-SCE-72706;R-SCE-975956;R-SCE-975957;R-SCE-9954709;R-SCE-9954714,sce:YKL180W,GO:0000448; GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022625; GO:0030687,
